iter	Logloss
0	0.6834051606
1	0.6735642836
2	0.6644248982
3	0.6551463291
4	0.6466055434
5	0.6377700191
6	0.6297833879
7	0.6212793914
8	0.6136010958
9	0.6058709443
10	0.598725815
11	0.5913444429
12	0.5841316325
13	0.5770914901
14	0.5705087824
15	0.5635651559
16	0.5573657921
17	0.5509466259
18	0.5448814375
19	0.5390317421
20	0.5332924257
21	0.5276019162
22	0.5221097905
23	0.5169251668
24	0.5120634196
25	0.5071141069
26	0.5024967249
27	0.4980071443
28	0.4936190264
29	0.4893688071
30	0.4848564889
31	0.480716536
32	0.4766141385
33	0.4728066087
34	0.4692531162
35	0.4658974879
36	0.4625332327
37	0.4591013832
38	0.45588391
39	0.452792506
40	0.4501535689
41	0.4471289243
42	0.4440870956
43	0.4414266976
44	0.4386625508
45	0.4356590555
46	0.432893396
47	0.4303104264
48	0.427683176
49	0.4250582102
50	0.422605938
51	0.4202344378
52	0.4181524543
53	0.4161083396
54	0.4141453772
55	0.4121019177
56	0.4101099922
57	0.4082838166
58	0.4064505875
59	0.4042847956
60	0.4026180583
61	0.4008795017
62	0.399323137
63	0.3976295114
64	0.3958403013
65	0.3940892505
66	0.3925824504
67	0.3907375871
68	0.3892646623
69	0.3877865198
70	0.3862943027
71	0.385008442
72	0.3839126985
73	0.382635942
74	0.3814563621
75	0.380231716
76	0.3789926956
77	0.3779107284
78	0.3768089461
79	0.3757331049
80	0.3747488345
81	0.3738061626
82	0.3728242417
83	0.3717439209
84	0.3708480257
85	0.3697675438
86	0.3687927092
87	0.367688975
88	0.3667424775
89	0.3657845566
90	0.364807141
91	0.3638261415
92	0.3628890271
93	0.3621234961
94	0.3613078201
95	0.3603837724
96	0.3596034676
97	0.3589978924
98	0.3583929284
99	0.3576771345
100	0.3568941598
101	0.3561275859
102	0.3554368885
103	0.354720367
104	0.3538227379
105	0.3532554424
106	0.3525888449
107	0.3518390579
108	0.351355847
109	0.3507825494
110	0.3501650955
111	0.3496641058
112	0.3489229894
113	0.3481725169
114	0.3477309727
115	0.3472675669
116	0.3466363727
117	0.3461293084
118	0.3456940605
119	0.3451753975
120	0.3445312257
121	0.3440965972
122	0.3435759408
123	0.3431598763
124	0.3427865061
125	0.342206515
126	0.3419010575
127	0.3416114182
128	0.3411377087
129	0.340877627
130	0.3404920522
131	0.3401811143
132	0.3399602306
133	0.3396656984
134	0.3392998534
135	0.338979624
136	0.3384636874
137	0.3381201176
138	0.3378171473
139	0.3374313074
140	0.3369690866
141	0.3364518173
142	0.3362158597
143	0.335907531
144	0.3355312235
145	0.3350218761
146	0.3347369907
147	0.3343764222
148	0.3340475003
149	0.3336937452
150	0.3333261131
151	0.332995484
152	0.3326128469
153	0.3323753411
154	0.332159404
155	0.3314396272
156	0.330940416
157	0.3306429549
158	0.3304614714
159	0.3302243049
160	0.3298994715
161	0.3295773332
162	0.3294034901
163	0.3290643569
164	0.3289085513
165	0.3285066835
166	0.3280978812
167	0.3276656681
168	0.3273280276
169	0.3270550976
170	0.3268258266
171	0.3264803432
172	0.3261389581
173	0.325907691
174	0.3256210342
175	0.3252357748
176	0.3248922744
177	0.3247179005
178	0.3244278479
179	0.3242440383
180	0.3239796107
181	0.3238395709
182	0.3236174008
183	0.3234746904
184	0.3232366102
185	0.3229212853
186	0.3226068747
187	0.3224683682
188	0.3223346651
189	0.3220777359
190	0.3218427342
191	0.3215733247
192	0.3213184326
193	0.3211063851
194	0.3208243532
195	0.3206108202
196	0.3204388772
197	0.3202491707
198	0.3200274448
199	0.3198259725
200	0.3197213006
201	0.3194277917
202	0.3192019086
203	0.3188857614
204	0.3185044702
205	0.3183697377
206	0.318119543
207	0.3179952883
208	0.3178833947
209	0.3176857537
210	0.3174685999
211	0.3171773193
212	0.3170325256
213	0.3168684559
214	0.3166755644
215	0.3165520757
216	0.3163424495
217	0.3162023336
218	0.3159534522
219	0.3158196098
220	0.315548813
221	0.3151565154
222	0.3150691866
223	0.3147194989
224	0.314408035
225	0.3141094373
226	0.3139331391
227	0.3135818032
228	0.3133586098
229	0.3130317952
230	0.3128822816
231	0.3126097876
232	0.3124943189
233	0.3123357529
234	0.312162272
235	0.3119296321
236	0.3116292962
237	0.3114938768
238	0.3113537973
239	0.3111891012
240	0.3110660958
241	0.3108760074
242	0.3107154322
243	0.3106497238
244	0.3104656149
245	0.3103291924
246	0.3101599625
247	0.3100351915
248	0.3097676771
249	0.3096587816
250	0.3095579139
251	0.3093677291
252	0.3092425363
253	0.3090030548
254	0.3089419002
255	0.3088434607
256	0.308685939
257	0.3085465804
258	0.3082776948
259	0.308110766
260	0.3078773748
261	0.3076189921
262	0.3074005924
263	0.3072829329
264	0.3071164535
265	0.3068901235
266	0.3067277973
267	0.3065037221
268	0.3063745336
269	0.3061902908
270	0.3060245696
271	0.3058289673
272	0.3055115488
273	0.305267387
274	0.3050514683
275	0.3047893717
276	0.3046751665
277	0.3045517099
278	0.3044341018
279	0.3042996741
280	0.3039984059
281	0.3037043062
282	0.3034902131
283	0.3033349839
284	0.3031583814
285	0.3030117767
286	0.302699582
287	0.3025354177
288	0.3022913496
289	0.3021940976
290	0.3021115751
291	0.3018543495
292	0.3016485212
293	0.3014626888
294	0.3012484596
295	0.3010661492
296	0.3009561763
297	0.3008193845
298	0.3005803675
299	0.3004459896
300	0.3002440118
301	0.3001423309
302	0.2999265595
303	0.2997342069
304	0.2995715526
305	0.2994213674
306	0.299330789
307	0.2992477721
308	0.299119323
309	0.2989324891
310	0.2987242383
311	0.2986496616
312	0.2984154641
313	0.2983025916
314	0.2982059595
315	0.2979757873
316	0.2976370275
317	0.2974923054
318	0.2973622767
319	0.2972040404
320	0.2969875791
321	0.2969438786
322	0.2967193583
323	0.2965718452
324	0.2964346144
325	0.2963233203
326	0.2962391569
327	0.2961496306
328	0.2959229771
329	0.2957273593
330	0.2956137183
331	0.2955074948
332	0.295411482
333	0.2952427124
334	0.2950546299
335	0.2949822113
336	0.2948893908
337	0.294645485
338	0.2944327397
339	0.2943139216
340	0.2942277377
341	0.2941200168
342	0.2939929327
343	0.293838241
344	0.2937433696
345	0.2935529027
346	0.2934468109
347	0.2932683003
348	0.2930356423
349	0.29291915
350	0.2927927955
351	0.2926265036
352	0.2924753859
353	0.292370438
354	0.2921310011
355	0.2919972743
356	0.2918496409
357	0.2916770045
358	0.2916283156
359	0.2914730418
360	0.291327795
361	0.291247469
362	0.291019721
363	0.290937612
364	0.29069781
365	0.2905976479
366	0.2904470947
367	0.290230375
368	0.2901233467
369	0.2899955657
370	0.2898820675
371	0.2897123918
372	0.2894440101
373	0.289324308
374	0.2892095355
375	0.2890320465
376	0.2889159585
377	0.2886580788
378	0.288570807
379	0.2883916542
380	0.2882628333
381	0.2879845322
382	0.2878602275
383	0.2876433631
384	0.2874693968
385	0.2873081071
386	0.2871437809
387	0.2869720932
388	0.2867820777
389	0.2865461474
390	0.286428392
391	0.2862966638
392	0.2861759558
393	0.2859807645
394	0.2857810217
395	0.2856281328
396	0.2854252609
397	0.2853117356
398	0.2852067859
399	0.2850511696
400	0.2849592074
401	0.2848484595
402	0.2846734579
403	0.2845105898
404	0.2843016138
405	0.2841503258
406	0.2839758735
407	0.2838722516
408	0.2837490708
409	0.2835892735
410	0.2834480027
411	0.2832029497
412	0.2830393498
413	0.2827684894
414	0.282659943
415	0.282608933
416	0.2824114777
417	0.2821196997
418	0.2820500937
419	0.2819743993
420	0.2818897611
421	0.2818233923
422	0.2814937539
423	0.2811929537
424	0.2810673943
425	0.2809352466
426	0.2808348353
427	0.2806445948
428	0.2804782228
429	0.2802909067
430	0.2802223775
431	0.2800587218
432	0.2799615686
433	0.2797574167
434	0.2796380078
435	0.2795668669
436	0.2794300103
437	0.2793057167
438	0.2792539492
439	0.279154684
440	0.2790407518
441	0.2788968965
442	0.2787469405
443	0.2784858438
444	0.2784216666
445	0.278149089
446	0.2779865626
447	0.2777963231
448	0.277742701
449	0.2776039369
450	0.2774876899
451	0.2773848084
452	0.277311302
453	0.2772028146
454	0.2771443017
455	0.277019292
456	0.276833048
457	0.2766884942
458	0.276614006
459	0.2764842735
460	0.2763224213
461	0.2760091285
462	0.2758643438
463	0.2757572354
464	0.2755095445
465	0.2754034271
466	0.2751939308
467	0.2751184906
468	0.2750431292
469	0.2749762657
470	0.2749295815
471	0.2748689992
472	0.2747236677
473	0.2745932251
474	0.2743101012
475	0.2742093937
476	0.2740810965
477	0.2739962316
478	0.2738482638
479	0.2737688243
480	0.2736780846
481	0.273587379
482	0.2734924828
483	0.2734193239
484	0.2733192452
485	0.2732578454
486	0.2731870941
487	0.2730225984
488	0.2728957643
489	0.2728175526
490	0.2727214998
491	0.2725201286
492	0.2723125305
493	0.2722928496
494	0.272205386
495	0.2720700167
496	0.2719452786
497	0.2718124966
498	0.2717545697
499	0.2717282143
500	0.2715418678
501	0.2714240706
502	0.2712892955
503	0.2711820412
504	0.2711383755
505	0.2710442749
506	0.270885539
507	0.2707918292
508	0.2706686337
509	0.2705595463
510	0.2704570901
511	0.2702956979
512	0.2701662044
513	0.2700696193
514	0.2700141526
515	0.2698139037
516	0.2696700501
517	0.2695549714
518	0.2694963961
519	0.2693392981
520	0.2691747797
521	0.2691003694
522	0.2689944995
523	0.2688426892
524	0.2687592628
525	0.2686797511
526	0.2685675522
527	0.2684895238
528	0.2683345308
529	0.2682393709
530	0.2680774283
531	0.267993445
532	0.267848397
533	0.2676557036
534	0.2674223193
535	0.2672240646
536	0.2671106099
537	0.2669387929
538	0.2668896048
539	0.2667549252
540	0.2667089994
541	0.2665770985
542	0.2663853875
543	0.2662207525
544	0.2660885543
545	0.2658452337
546	0.2656779546
547	0.2656053108
548	0.2655034722
549	0.2654678735
550	0.2654052943
551	0.2652967964
552	0.2651292601
553	0.2650131124
554	0.2648616136
555	0.2647189723
556	0.2645850124
557	0.2644778663
558	0.2643913012
559	0.2643224925
560	0.2642454829
561	0.2639382949
562	0.2637775024
563	0.263681377
564	0.2633996814
565	0.2632010704
566	0.2631248718
567	0.2629933792
568	0.2628641251
569	0.2626780492
570	0.26260787
571	0.2624717957
572	0.2621998518
573	0.2620718623
574	0.26190193
575	0.2617336934
576	0.2616306919
577	0.2614619928
578	0.2612363009
579	0.2611264791
580	0.2609689846
581	0.2609054999
582	0.2607126165
583	0.2606719391
584	0.2605084425
585	0.2603423375
586	0.2602757433
587	0.2600633932
588	0.2600048738
589	0.259796333
590	0.2596267689
591	0.2595315282
592	0.2594532269
593	0.2594079263
594	0.259326297
595	0.2592735771
596	0.2592000871
597	0.2590830749
598	0.2590150849
599	0.2585973388
600	0.2584750439
601	0.2583522596
602	0.2582462091
603	0.2581348144
604	0.2579104503
605	0.2577798151
606	0.2576909237
607	0.2575419082
608	0.2572695254
609	0.257132127
610	0.2570585572
611	0.2569641981
612	0.2568241395
613	0.2567261639
614	0.2565879743
615	0.256541997
616	0.2563767566
617	0.256319718
618	0.2562564678
619	0.2561963701
620	0.2561342665
621	0.2560812307
622	0.2559891399
623	0.2558536519
624	0.2557590114
625	0.2556163391
626	0.2554884856
627	0.2553814556
628	0.2552073351
629	0.2551127089
630	0.2549298077
631	0.2548110522
632	0.2546575734
633	0.2545459596
634	0.254304096
635	0.2542537939
636	0.2541507551
637	0.2540652212
638	0.2539346995
639	0.2538527885
640	0.2536400432
641	0.2535278218
642	0.2533908606
643	0.2533006829
644	0.2532362485
645	0.253193637
646	0.2531075626
647	0.2530080529
648	0.2529366605
649	0.2528804945
650	0.2527921781
651	0.2525970872
652	0.2524660006
653	0.2524064499
654	0.2522948725
655	0.2522499411
656	0.2521733627
657	0.2519965529
658	0.2519292095
659	0.2518432551
660	0.2517744476
661	0.2516655189
662	0.251612279
663	0.2515796627
664	0.2514017828
665	0.2513269586
666	0.2512056342
667	0.2510858662
668	0.2509230023
669	0.2508389276
670	0.2507906313
671	0.2506735798
672	0.250549717
673	0.250505814
674	0.2503337682
675	0.2502786233
676	0.2502086091
677	0.2500032204
678	0.2498215094
679	0.249659946
680	0.2495959148
681	0.249521446
682	0.249370307
683	0.2492558071
684	0.2492185812
685	0.2490031417
686	0.2489360888
687	0.2487654829
688	0.2486686827
689	0.2485558728
690	0.2484883459
691	0.2484503454
692	0.2483074889
693	0.2480913672
694	0.2480034369
695	0.2477551857
696	0.2476477742
697	0.2475245265
698	0.247469621
699	0.2472735517
700	0.2470810112
701	0.2469087527
702	0.2468514098
703	0.2467665207
704	0.246573083
705	0.2464952316
706	0.2464648315
707	0.2464052695
708	0.2462798477
709	0.2462167073
710	0.2461523618
711	0.2460856108
712	0.2459557982
713	0.2457711777
714	0.2455621105
715	0.2453676964
716	0.2452391558
717	0.245167637
718	0.2450492294
719	0.2449411273
720	0.2448950757
721	0.2447942321
722	0.2445375037
723	0.2444317693
724	0.2444029953
725	0.2443474766
726	0.2442223031
727	0.244117442
728	0.24395215
729	0.2438952788
730	0.2438625904
731	0.2437493176
732	0.2436604044
733	0.2436155948
734	0.2434333863
735	0.243296989
736	0.243173755
737	0.2431278561
738	0.2430798527
739	0.2430122998
740	0.2429354965
741	0.2428700147
742	0.2426223402
743	0.2425651103
744	0.2425022962
745	0.2424394893
746	0.2422857968
747	0.242070915
748	0.2418489967
749	0.241757059
750	0.2416582102
751	0.2415966269
752	0.2415429499
753	0.2413862442
754	0.2412802668
755	0.2411781702
756	0.2410464983
757	0.2409892007
758	0.2408871688
759	0.2407790904
760	0.2406724034
761	0.2405224568
762	0.2404528127
763	0.240344789
764	0.2402296458
765	0.2400651351
766	0.2398371007
767	0.2397973088
768	0.2396895296
769	0.2396402139
770	0.2394851444
771	0.2393928915
772	0.2393361511
773	0.2392211097
774	0.2389427228
775	0.2387264425
776	0.2386332788
777	0.238471521
778	0.2383210515
779	0.2381946912
780	0.2380149043
781	0.2378086369
782	0.2376830234
783	0.2376243743
784	0.2375856713
785	0.2374987959
786	0.2374105479
787	0.2372445913
788	0.2371638618
789	0.2370866547
790	0.2369371572
791	0.2367946962
792	0.2367315561
793	0.2365868934
794	0.2365156268
795	0.2364707812
796	0.236349874
797	0.2362516493
798	0.2361961887
799	0.2361607162
800	0.2361246828
801	0.236069044
802	0.2360349195
803	0.2359731605
804	0.2358153032
805	0.235673508
806	0.235629443
807	0.2355985453
808	0.2355571927
809	0.235443141
810	0.2352527819
811	0.2350810884
812	0.234960533
813	0.2348557022
814	0.2347426744
815	0.2345453955
816	0.2345064281
817	0.2343426224
818	0.234289508
819	0.2341770041
820	0.2341173797
821	0.2339798518
822	0.2338423687
823	0.2337909349
824	0.2337636109
825	0.2336327084
826	0.2335389781
827	0.2334236705
828	0.2332228546
829	0.2331899691
830	0.2331526375
831	0.2331259059
832	0.2329819259
833	0.232924237
834	0.232862575
835	0.2327496722
836	0.2326324308
837	0.2324370769
838	0.2323051538
839	0.2321138051
840	0.2319813728
841	0.2318702785
842	0.2318339971
843	0.231691488
844	0.2316007323
845	0.23153674
846	0.2313378116
847	0.2312811588
848	0.2310798382
849	0.2309821137
850	0.2309550479
851	0.2308852702
852	0.2306714453
853	0.2304694634
854	0.2302773461
855	0.230218835
856	0.230119731
857	0.2300859065
858	0.2300136289
859	0.229982557
860	0.2298525037
861	0.2297141889
862	0.2295393819
863	0.2293971254
864	0.229356653
865	0.2291813172
866	0.2290615715
867	0.2289654692
868	0.228793676
869	0.2287365122
870	0.2287067302
871	0.2284819337
872	0.2284501689
873	0.2283328
874	0.2282823098
875	0.2282500809
876	0.2281541649
877	0.2280195806
878	0.227895304
879	0.2277744861
880	0.2277114696
881	0.227613412
882	0.2275895782
883	0.2275647478
884	0.2274681385
885	0.2273746643
886	0.2273466371
887	0.2272811063
888	0.2271663996
889	0.2271378734
890	0.2271125215
891	0.2269677534
892	0.2268743206
893	0.2268056818
894	0.226700453
895	0.2265227464
896	0.2264440046
897	0.2262523475
898	0.2260622754
899	0.2259793807
900	0.2257909482
901	0.225644219
902	0.2254795481
903	0.2253755641
904	0.2252221344
905	0.2251735651
906	0.2251505258
907	0.225057909
908	0.2248282117
909	0.2247182408
910	0.2246067255
911	0.2244571947
912	0.2244207549
913	0.2243014255
914	0.224204578
915	0.224094713
916	0.2240715262
917	0.2240314977
918	0.2238701326
919	0.2236757763
920	0.2235637587
921	0.2234295023
922	0.2232879393
923	0.2231395966
924	0.2231119733
925	0.2230883908
926	0.2229733351
927	0.2228693068
928	0.2227119316
929	0.2226890135
930	0.2224935775
